customer_id,customer_id_1,first_name,last_name,full_name,gender,age,credit_score,monthly_income,income_band,country,state,city,region,zip_code,channel,signup_date,last_txn_date,total_spend,txn_count,avg_session_mins,order_return_rate,recency_days,frequency,monetary,tenure_months,avg_order_value,freq_monthly,cltv,churn_risk,engagement_score,high_engagement,high_return_rate,cltv_decile,R_score,F_score,M_score,RFM_score,rfm_segment,cluster,segment,crm_action
1001,1001,Brittany,Franklin,Brittany Franklin,Male,57,780.0,7591,High,China,Guangdong,Dongguan,China,dong,Social,2019-01-01 02:42:00,2022-12-23 18:07:00,272,2,12.0,0.0,373,2,272,60.833333333333336,136.0,0.0329,107.39,0,32.0,0,0,3,4,3,3,433,Promising,1,At-Risk,Win-back campaign within 7 days
1002,1002,Scott,Stewart,Scott Stewart,Female,69,746.0,3912,Mid,China,Shandong,Yantai,China,yant,Search,2019-01-02 20:35:00,2023-09-27 21:40:00,1080,2,18.0,0.0,95,2,1080,60.8,540.0,0.0329,426.38,0,34.9,1,0,6,5,3,4,534,Promising,1,At-Risk,Win-back campaign within 7 days
1003,1003,Elizabeth,Fowler,Elizabeth Fowler,Female,21,772.0,7460,High,UK,England,Birmingham,UK,birm,Social,2019-01-04 03:11:00,2019-01-04 03:11:00,40,1,24.0,0.0,1822,1,40,60.733333333333334,40.0,0.0165,15.84,1,35.7,1,0,0,1,1,1,111,Lost,0,Lost,Suppress — flag for quarterly review
1004,1004,Julian,Wall,Julian Wall,Female,67,631.0,4765,Mid,UK,England,Birmingham,UK,birm,Social,2019-01-05 09:01:00,2022-07-27 12:43:00,2040,2,15.5,0.0,522,2,2040,60.7,1020.0,0.0329,805.39,0,29.4,0,0,7,4,3,5,435,Promising,1,At-Risk,Win-back campaign within 7 days
1005,1005,James,Simmons,James Simmons,Male,57,630.0,3268,Mid,China,Shandong,Yantai,China,yant,Offline,2019-01-05 13:35:00,2019-01-05 13:35:00,600,1,7.0,0.0,1821,1,600,60.7,600.0,0.0165,237.6,1,19.7,0,0,5,1,1,4,114,Lost,0,Lost,Suppress — flag for quarterly review
1006,1006,Annette,Atkins,Annette Atkins,Female,36,660.0,5350,Mid,India,Maharashtra,Nagpur,India,nagp,Social,2019-01-06 21:39:00,2022-10-20 03:51:00,249,3,16.333333333333332,0.0,437,3,249,60.666666666666664,83.0,0.0495,98.6,0,34.9,1,0,3,4,5,3,453,Promising,3,Promising,Cross-sell — travel rewards / premium product
1007,1007,Martha,Smith,Martha Smith,Female,47,606.0,3972,Mid,UK,Scotland,Edinburgh,UK,edin,Search,2019-01-08 22:53:00,2019-01-08 22:53:00,500,1,19.0,1.0,1818,1,500,60.6,500.0,0.0165,198.0,1,26.9,0,1,5,1,1,4,114,Lost,0,Lost,Suppress — flag for quarterly review
1008,1008,Kristina,Ramirez,Kristina Ramirez,Female,45,627.0,7455,High,India,Maharashtra,Mumbai,India,mumb,Social,2019-01-09 01:48:00,2022-11-13 22:26:00,1605,2,17.5,0.0,413,2,1605,60.56666666666667,802.5,0.033,635.58,0,30.6,0,0,7,4,3,4,434,Promising,1,At-Risk,Win-back campaign within 7 days
1009,1009,Justin,Hardin,Justin Hardin,Male,59,609.0,3003,Mid,Spain,Catalonia,Barcelona,Spain,barc,Offline,2019-01-09 16:29:00,2022-04-24 09:12:00,7580,2,27.5,1.0,616,2,7580,60.56666666666667,3790.0,0.033,3001.68,0,36.6,1,1,9,3,3,5,335,Promising,2,Champions,Referral program + premium card upsell
1010,1010,Jason,Rivera,Jason Rivera,Male,25,755.0,4722,Mid,UK,England,Birmingham,UK,birm,Search,2019-01-10 13:12:00,2019-01-10 13:12:00,1600,1,32.0,0.0,1816,1,1600,60.53333333333333,1600.0,0.0165,633.6,1,40.5,1,0,7,1,1,4,114,Lost,0,Lost,Suppress — flag for quarterly review
1011,1011,Zachary,Roberts,Zachary Roberts,Male,60,634.0,6753,High,USA,California,San Jose,USA,san ,Offline,2019-01-13 15:41:00,2023-09-03 20:19:00,170,2,33.0,0.5,119,2,170,60.43333333333333,85.0,0.0331,67.52,0,41.1,1,1,2,5,3,2,532,Promising,1,At-Risk,Win-back campaign within 7 days
1012,1012,Matthew,Snyder,Matthew Snyder,Male,57,700.0,4148,Mid,China,Shandong,Yantai,China,yant,Social,2019-01-15 02:29:00,2019-01-15 02:29:00,54,1,11.0,0.0,1811,1,54,60.36666666666667,54.0,0.0166,21.51,1,24.7,0,0,0,1,1,1,111,Lost,0,Lost,Suppress — flag for quarterly review
